/usr/local/openjdk-11/bin/java  -classpath /YCSB/conf:/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/YCSB/core/target/dependency/HdrHistogram-2.1.12.jar:/YCSB/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/YCSB/core/target/dependency/jackson-core-asl-1.9.4.jar:/YCSB/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/YCSB/mongodb/target/mongodb-binding-0.18.0-SNAPSHOT.jar:/YCSB/mongodb/target/dependency/bson-5.1.0.jar:/YCSB/mongodb/target/dependency/bson-record-codec-5.1.0.jar:/YCSB/mongodb/target/dependency/logback-classic-1.1.2.jar:/YCSB/mongodb/target/dependency/logback-core-1.1.2.jar:/YCSB/mongodb/target/dependency/mongodb-async-driver-2.0.1.jar:/YCSB/mongodb/target/dependency/mongodb-driver-core-5.1.0.jar:/YCSB/mongodb/target/dependency/mongodb-driver-sync-5.1.0.jar:/YCSB/mongodb/target/dependency/slf4j-api-1.7.25.jar:/YCSB/mongodb/target/dependency/snappy-java-1.1.7.1.jar site.ycsb.Client -t -db site.ycsb.db.MongoDbClient -s -P workloads/workloadr -p mongodb.url=mongodb://root:mongodb123@my-mongodb-sharded:27017/ycsb?authSource=admin&readPreference=nearest -threads 10
Command line: -t -db site.ycsb.db.MongoDbClient -s -P workloads/workloadr -p mongodb.url=mongodb://root:mongodb123@my-mongodb-sharded:27017/ycsb?authSource=admin&readPreference=nearest -threads 10
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
2025-12-07 05:18:16:529 0 sec: 0 operations; est completion in 0 second 
mongo client connection created with mongodb://root:mongodb123@my-mongodb-sharded:27017/ycsb?authSource=admin&readPreference=nearest
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
#OUTLIER 2025-12-07 05:18:26:471 10 sec: 15746 operations; 1574.44 current ops/sec; est completion in 10 minutes [READ: Count=15746, Max=254207, Min=874, Avg=6028.04, 50=1352, 90=14263, 99=67007, 99.9=85055, 99.99=251775] 
2025-12-07 05:21:06:471 170 sec: 305589 operations; 1879 current ops/sec; est completion in 6 minutes [READ: Count=18790, Max=81791, Min=822, Avg=5319.94, 50=1204, 90=1988, 99=78079, 99.9=79615, 99.99=81663] 
2025-12-07 05:21:16:470 180 sec: 324532 operations; 1894.3 current ops/sec; est completion in 6 minutes [READ: Count=18943, Max=80703, Min=846, Avg=5276.63, 50=1197, 90=2001, 99=77567, 99.9=78975, 99.99=79999] 
2025-12-07 05:21:26:471 190 sec: 340968 operations; 1643.6 current ops/sec; est completion in 6 minutes [READ: Count=16436, Max=96767, Min=857, Avg=6081.03, 50=1215, 90=2051, 99=83071, 99.9=86847, 99.99=96767] 
2025-12-07 05:21:36:470 200 sec: 359822 operations; 1885.4 current ops/sec; est completion in 5 minutes [READ: Count=18854, Max=81791, Min=852, Avg=5301.89, 50=1207, 90=1994, 99=77695, 99.9=79487, 99.99=81535] 
2025-12-07 05:21:46:470 210 sec: 378822 operations; 1900 current ops/sec; est completion in 5 minutes [READ: Count=19000, Max=93567, Min=848, Avg=5261, 50=1221, 90=2038, 99=77503, 99.9=78911, 99.99=81727] 
2025-12-07 05:21:56:470 220 sec: 395340 operations; 1651.8 current ops/sec; est completion in 5 minutes [READ: Count=16518, Max=135295, Min=863, Avg=6050.28, 50=1231, 90=2045, 99=82623, 99.9=86463, 99.99=99007] 
2025-12-07 05:22:06:470 230 sec: 414165 operations; 1882.5 current ops/sec; est completion in 5 minutes [READ: Count=18825, Max=84031, Min=865, Avg=5309.98, 50=1212, 90=1992, 99=77887, 99.9=79359, 99.99=81599] 
2025-12-07 05:22:16:470 240 sec: 433149 operations; 1898.4 current ops/sec; est completion in 5 minutes [READ: Count=18984, Max=100799, Min=841, Avg=5265.32, 50=1216, 90=2015, 99=77439, 99.9=78975, 99.99=92607] 
2025-12-07 05:22:26:470 250 sec: 449634 operations; 1648.5 current ops/sec; est completion in 5 minutes [READ: Count=16485, Max=109375, Min=844, Avg=6063.24, 50=1214, 90=2035, 99=83071, 99.9=86783, 99.99=97983] 
2025-12-07 05:22:36:470 260 sec: 468473 operations; 1883.9 current ops/sec; est completion in 4 minutes [READ: Count=18839, Max=83007, Min=860, Avg=5305.37, 50=1217, 90=1990, 99=77695, 99.9=79039, 99.99=81855] 
2025-12-07 05:22:46:473 270 sec: 487483 operations; 1900.43 current ops/sec; est completion in 4 minutes [READ: Count=19010, Max=80703, Min=843, Avg=5258.54, 50=1206, 90=2049, 99=77503, 99.9=78783, 99.99=79935] 
2025-12-07 05:22:56:470 280 sec: 503678 operations; 1619.99 current ops/sec; est completion in 4 minutes [READ: Count=16195, Max=494335, Min=845, Avg=6172.17, 50=1230, 90=2063, 99=82687, 99.9=86911, 99.99=494335] 
2025-12-07 05:23:06:470 290 sec: 522503 operations; 1882.5 current ops/sec; est completion in 4 minutes [READ: Count=18825, Max=80895, Min=869, Avg=5309.14, 50=1215, 90=2015, 99=77759, 99.9=79551, 99.99=80703] 
2025-12-07 05:23:16:471 300 sec: 541460 operations; 1895.7 current ops/sec; est completion in 4 minutes [READ: Count=18957, Max=80575, Min=869, Avg=5272.65, 50=1207, 90=2038, 99=77631, 99.9=79231, 99.99=80575] 
